datetime,duration_ms,status,keyword_status
2026-03-17T09:57:27+00:00,128,success,found
2026-03-17T10:20:51+00:00,126,success,found
2026-03-17T10:39:48+00:00,198,success,found
2026-03-17T11:02:48+00:00,154,success,found
2026-03-17T11:24:38+00:00,273,success,found
2026-03-17T11:43:25+00:00,158,success,found
2026-03-17T11:58:59+00:00,205,success,found
2026-03-17T12:27:55+00:00,204,success,found
2026-03-17T12:50:06+00:00,163,success,found
2026-03-17T13:21:31+00:00,222,success,found
2026-03-17T13:55:06+00:00,244,success,found
2026-03-17T14:22:52+00:00,157,success,found
2026-03-17T14:45:02+00:00,222,success,found
2026-03-17T15:11:15+00:00,369,success,found
2026-03-17T15:38:30+00:00,207,success,found
2026-03-17T16:04:45+00:00,298,success,found
2026-03-17T16:34:42+00:00,152,success,found
2026-03-17T16:59:46+00:00,263,success,found
2026-03-17T17:29:32+00:00,243,success,found
2026-03-17T17:52:50+00:00,276,success,found
2026-03-17T18:11:06+00:00,241,success,found
2026-03-17T18:33:03+00:00,290,success,found
2026-03-17T18:58:58+00:00,359,success,found
2026-03-17T19:25:30+00:00,198,success,found
2026-03-17T19:47:02+00:00,174,success,found
2026-03-17T20:02:39+00:00,197,success,found
2026-03-17T20:20:07+00:00,179,success,found
2026-03-17T20:37:10+00:00,222,success,found
2026-03-17T20:56:13+00:00,179,success,found
2026-03-17T21:12:25+00:00,156,success,found
